Image ID,Penultimate_Output,GT_Value
02301__00000,"[array([[0.08453234, 2.3216817 , 1.3622484 , 0.02400684]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00001,"[array([[0.10175987, 2.1938906 , 1.370112  , 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00002,"[array([[0.01008619, 2.2874367 , 1.3581008 , 0.07904787]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00003,"[array([[0.        , 2.1309013 , 1.352154  , 0.18273357]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00004,"[array([[0.        , 2.1325428 , 1.3649416 , 0.03700536]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00005,"[array([[0.06177865, 2.0612981 , 1.3736937 , 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00006,"[array([[0.        , 1.7416455 , 1.3991382 , 0.39666754]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00007,"[array([[0.51709557, 1.9963529 , 1.3588125 , 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00008,"[array([[0.0501567 , 3.1003609 , 0.92966866, 0.16542879]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00009,"[array([[0.        , 2.4582186 , 1.086538  , 0.50998694]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00010,"[array([[0.       , 3.0323186, 1.0039066, 1.0297463]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00011,"[array([[0.       , 2.6281133, 1.2747791, 1.5744622]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00012,"[array([[0.        , 1.9055187 , 1.2154087 , 0.08601315]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00013,"[array([[0.       , 1.9215803, 0.9596808, 0.208568 ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00014,"[array([[0.       , 2.086961 , 0.7102242, 0.579748 ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00015,"[array([[0.       , 3.1767597, 0.7662255, 0.3443861]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00016,"[array([[0.        , 2.3207731 , 0.33807015, 0.1198948 ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00017,"[array([[1.0342734, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00018,"[array([[0.7446496, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00019,"[array([[1.117732 , 0.7825902, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00020,"[array([[0.49387532, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00022,"[array([[0.32562095, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00023,"[array([[1.1454071 , 0.42040288, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
