Image_ID,Penultimate_Output,GT_Value
02301__00013,"[array([[0.       , 1.9215803, 0.9596808, 0.208568 ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00628,"[array([[1.8855281 , 0.10524964, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00771,"[array([[0.        , 2.2220087 , 1.2979848 , 0.98300827]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02301__00601,"[array([[0.       , 0.6369546, 0.       , 0.3434977]], dtype=float32)]","[array([[ 1.5779206, -2.743746 ]], dtype=float32)]"
02301__00070,"[array([[0.05820547, 1.6856579 , 0.5836381 , 0.        ]], dtype=float32)]","[array([[ 3.2632387, -8.817045 ]], dtype=float32)]"
02301__00076,"[array([[0.3776278 , 1.481147  , 0.61848515, 0.        ]], dtype=float32)]","[array([[ 0.6049163, -8.925325 ]], dtype=float32)]"
02301__00673,"[array([[0.71628726, 0.7708803 , 0.        , 0.        ]], dtype=float32)]","[array([[-1.1466027, -2.0411797]], dtype=float32)]"
02301__00100,"[array([[0.20174952, 1.8604552 , 1.1550255 , 0.        ]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
02301__00432,"[array([[0.       , 0.7746937, 0.       , 1.5287461]], dtype=float32)]","[array([[ 2.9448779, -3.450745 ]], dtype=float32)]"
02301__00808,"[array([[0.70113003, 2.3049862 , 1.4015417 , 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
02301__00163,"[array([[0.        , 1.7496909 , 1.2344017 , 0.17741391]], dtype=float32)]","[array([[ 2.4810355, -6.1975994]], dtype=float32)]"
02301__00175,"[array([[0.84564716, 1.5078562 , 0.81461847, 0.        ]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00822,"[array([[0.        , 1.2767704 , 0.        , 0.47946435]], dtype=float32)]","[array([[ 2.5444305, -5.1552114]], dtype=float32)]"
02301__00205,"[array([[0.82716686, 0.672355  , 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02301__00870,"[array([[0.        , 0.21418476, 0.        , 0.42446107]], dtype=float32)]","[array([[ 1.064   , -1.426988]], dtype=float32)]"
02301__00236,"[array([[0.       , 1.4096603, 0.       , 0.6324264]], dtype=float32)]","[array([[ 2.0146153, -5.56074  ]], dtype=float32)]"
02301__00853,"[array([[0.        , 1.6507338 , 0.88253903, 1.222979  ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02301__00280,"[array([[0.7672802, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.835397 , -1.6563889]], dtype=float32)]"
02301__00606,"[array([[0.        , 2.0820777 , 1.3661251 , 0.28539994]], dtype=float32)]","[array([[ 3.1034286, -7.8467274]], dtype=float32)]"
02301__00449,"[array([[0.76745045, 0.8691649 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.7854868, -2.9301379]], dtype=float32)]"
02301__00329,"[array([[0.       , 1.0023038, 0.       , 0.316516 ]], dtype=float32)]","[array([[ 1.3575537, -3.6346984]], dtype=float32)]"
02301__00568,"[array([[0.        , 0.19151175, 0.        , 0.44738266]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00350,"[array([[0.        , 0.34282124, 0.        , 0.73444694]], dtype=float32)]","[array([[ 2.4265444, -3.0903735]], dtype=float32)]"
02301__00421,"[array([[0.        , 0.89124835, 0.        , 0.7770895 ]], dtype=float32)]","[array([[ 3.365   , -1.426988]], dtype=float32)]"
02301__00397,"[array([[0.        , 1.1835111 , 0.        , 0.38600233]], dtype=float32)]","[array([[ 2.2145  , -3.716244]], dtype=float32)]"
02301__00736,"[array([[0.42420298, 1.9208679 , 1.0482585 , 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02301__00653,"[array([[0.        , 1.879235  , 1.2408047 , 0.01394452]], dtype=float32)]","[array([[-0.0865  , -8.294756]], dtype=float32)]"
02301__00788,"[array([[0.36469805, 2.0878186 , 1.1885397 , 0.        ]], dtype=float32)]","[array([[ 0.72488207, -9.728868  ]], dtype=float32)]"
02301__00517,"[array([[0.       , 1.8893318, 1.0597786, 1.1353971]], dtype=float32)]","[array([[ 3.10991 , -4.926039]], dtype=float32)]"
02301__00425,"[array([[1.0154777, 1.6768235, 0.9068815, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
