Image ID,Penultimate_Output,GT_Value
02459__00000,"[array([[1.4204408 , 0.        , 0.02587444, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00001,"[array([[1.1569828 , 0.        , 0.31773505, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00002,"[array([[1.2120838 , 0.2988087 , 0.28361312, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00003,"[array([[1.35954034e+00, 1.09479904e-01, 3.88711691e-04, 0.00000000e+00]],
      dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00004,"[array([[1.1450601 , 0.        , 0.36051473, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00005,"[array([[1.3005185 , 0.26368546, 0.04321593, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00006,"[array([[1.1948752 , 0.25889087, 0.3582106 , 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00007,"[array([[0.98338115, 0.27826816, 0.5751425 , 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00008,"[array([[1.3605105 , 0.14457333, 0.03603414, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00009,"[array([[1.2943081 , 0.25111055, 0.17532048, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00010,"[array([[0.9025489 , 0.03042471, 0.7101811 , 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00011,"[array([[1.2385839 , 0.17401087, 0.16926771, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00012,"[array([[1.4134991 , 0.16333681, 0.04935735, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00013,"[array([[1.3433585 , 0.28332663, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00014,"[array([[1.186475  , 0.3312409 , 0.25583777, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00015,"[array([[1.0963869 , 0.27823144, 0.49232653, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00016,"[array([[1.3086245 , 0.0256511 , 0.10409614, 0.        ]], dtype=float32)]","[array([[ 0.47676608, -2.5293853 ]], dtype=float32)]"
02459__00017,"[array([[0.8790038 , 0.34274662, 0.68628776, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00018,"[array([[0.65561724, 0.5064083 , 0.85072553, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00019,"[array([[0.76691103, 0.01482248, 0.96725214, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00020,"[array([[1.0754685 , 0.21438909, 0.5601115 , 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00022,"[array([[0.90990347, 0.02274346, 0.75713825, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00023,"[array([[0.7759561 , 0.        , 0.84177995, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00024,"[array([[0.56778765, 0.        , 1.044696  , 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00025,"[array([[0.61666584, 0.        , 0.8976073 , 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00026,"[array([[0.94309705, 0.        , 0.68016994, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00027,"[array([[0.97994757, 0.01607621, 0.59123504, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00028,"[array([[0.96960425, 0.        , 0.6175908 , 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00029,"[array([[1.1224105 , 0.        , 0.49438468, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00030,"[array([[1.1696995, 0.       , 0.4633042, 0.       ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00031,"[array([[0.88753766, 0.        , 0.7854922 , 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00032,"[array([[0.9163669, 0.       , 0.6315483, 0.       ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00033,"[array([[1.191376  , 0.        , 0.28675124, 0.        ]], dtype=float32)]","[array([[ 2.061746 , -1.6569045]], dtype=float32)]"
02459__00034,"[array([[0.9622638 , 1.5298175 , 0.58284056, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00035,"[array([[1.0217516 , 1.8369296 , 0.52282274, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00036,"[array([[0.8438807, 1.7027018, 0.8043084, 0.       ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00037,"[array([[0.7004064, 1.5806704, 0.947474 , 0.       ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00038,"[array([[0.81091356, 1.775251  , 0.7331042 , 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00039,"[array([[0.82821846, 2.122673  , 0.70364285, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00040,"[array([[1.3191735 , 2.0090334 , 0.08322486, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00041,"[array([[1.0026679 , 2.0399194 , 0.47036013, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00042,"[array([[0.6812334 , 1.9076891 , 0.86842644, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00043,"[array([[0.7783408, 1.991818 , 0.8185036, 0.       ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00044,"[array([[0.78544134, 1.8383715 , 0.832669  , 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00045,"[array([[0.83777237, 2.4289668 , 0.7094772 , 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00046,"[array([[1.0025401 , 2.4986634 , 0.38463458, 0.        ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
02459__00047,"[array([[1.596782, 2.16888 , 0.      , 0.      ]], dtype=float32)]","[array([[ 1.3886987, -5.3994803]], dtype=float32)]"
